,ID,NumOfTweets,NumOfFollowers,NumOfFollowing,NumOfFavourites,NumOfTweetsPerDay,RetweetCount,ReplyCount,ProfilePic,O,C,E,A,N,O_Sc,C_Sc,E_Sc,A_Sc,N_Sc
48,1578595778,766,436,261,2027,2,616,849,http://pbs.twimg.com/profile_images/955431398919364613/dTXs4x3u_normal.jpg,1,0,1,1,1,72,44,72,80,84
60,529807797,108,312,265,1675,2,16,65,http://pbs.twimg.com/profile_images/872887068409688065/EUgXnuvS_normal.jpg,1,1,0,1,1,60,72,28,84,88
88,2500853929,11,13,152,5,0,6,5,http://pbs.twimg.com/profile_images/690819859660328960/Xgjr2ZsJ_normal.jpg,0,1,1,1,1,36,76,60,76,80
7,1728551256,686,264,389,731,0,67,72,http://pbs.twimg.com/profile_images/958440846122213377/XOHlSuWM_normal.jpg,0,1,0,1,1,52,60,52,76,68
0,381720291,2743,30,133,77,1,37,2,http://pbs.twimg.com/profile_images/466843585711964160/Cvtq3okg_normal.jpeg,1,1,0,1,1,80,76,44,80,68
22,345743981,342,187,625,3777,0,321,924,http://pbs.twimg.com/profile_images/1035228890577465345/sibobPUG_normal.jpg,1,1,0,1,1,92,64,36,76,80
50,94467304,706,627,418,6902,1,92,1786,http://pbs.twimg.com/profile_images/1057444244082880512/22cACdjT_normal.jpg,1,0,1,1,0,64,56,72,68,52
74,2317602924,49,330,183,4562,3,89,48,http://pbs.twimg.com/profile_images/859889969598476291/l-o-byp2_normal.jpg,1,0,1,1,1,64,56,64,76,76
45,3319811561,139,625,306,1107,0,35,30,http://pbs.twimg.com/profile_images/987017876648407040/F29B0uEr_normal.jpg,1,1,0,1,0,80,68,20,84,56
19,1852370504,284,20,183,135,0,4,1,http://pbs.twimg.com/profile_images/636553764745428993/U8J9_sbh_normal.png,1,1,1,1,0,68,80,72,84,36
73,2628744300,40,879,354,18948,50,17,121,http://pbs.twimg.com/profile_images/872746446868668416/8Ztn9BUZ_normal.jpg,1,0,1,1,1,84,52,60,60,96
